School_code,School_name,Country,State,Town_suburb,Postcode,# Students,Level_of_schooling,County,Latitude,Longitude
1001,Abbotsford Public School,Australia,New South Wales,Abbotsford ,2046,607,Primary School,Canada Bay,-33.852728,151.131206
1002,Aberdeen Public School,Australia,New South Wales,Aberdeen,2336,201,Primary School,Upper Hunter Shire,-32.166098,150.888095
1003,Abermain Public School,Australia,New South Wales,Abermain ,2326,300,Primary School,Cessnock,-32.80892,151.426499
1007,Adaminaby Public School,Australia,New South Wales,ADAMINABY,2629,19,Primary School,Snowy Monaro Regional,-35.993292,148.776721
1008,Adamstown Public School,Australia,New South Wales,Adamstown ,2289,271,Primary School,Newcastle,-32.932213,151.730971
1009,Adelong Public School,Australia,New South Wales,Adelong ,2729,68,Primary School,Snowy Valleys,-35.312333,148.062802
1015,Albion Park Public School,Australia,New South Wales,Albion Park ,2527,469,Primary School,Shellharbour,-34.570257,150.77262
1016,Timbumburi Public School,Australia,New South Wales,Timbumburi ,2340,159,Primary School,Tamworth Regional,-31.203781,150.915629
1017,Albury Public School,Australia,New South Wales,Albury ,2640,591,Primary School,Albury,-36.082454,146.919253
1019,Albury West Public School,Australia,New South Wales,Albury ,2640,149,Primary School,Albury,-36.07783,146.895548
1028,Alma Public School,Australia,New South Wales,Broken Hill ,2880,266,Primary School,Broken Hill,-31.982217,141.462443
1030,Alstonville Public School,Australia,New South Wales,Alstonville ,2477,483,Primary School,Ballina,-28.838471,153.438172
1040,Anna Bay Public School,Australia,New South Wales,Anna Bay ,2316,329,Primary School,Port Stephens,-32.77637,152.089912
1041,Annandale Public School,Australia,New South Wales,Annandale ,2038,400,Primary School,Inner West,-33.885782,151.169599
1042,Annandale North Public School,Australia,New South Wales,Annandale ,2038,400,Primary School,Inner West,-33.877905,151.171835
1045,Appin Public School,Australia,New South Wales,APPIN,2560,319,Primary School,Wollondilly,-34.198417,150.78766
1048,Arcadia Public School,Australia,New South Wales,ARCADIA,2159,85,Primary School,Hornsby,-33.623487,151.051031
1051,Ardlethan Central School,Australia,New South Wales,Ardlethan ,2665,56,Central/Community School,Coolamon,-34.354098,146.900557
1055,Ariah Park Central School,Australia,New South Wales,Ariah Park ,2665,129.8,Central/Community School,Temora,-34.346925,147.218018
1057,Armidale City Public School,Australia,New South Wales,Armidale ,2350,434,Primary School,Armidale Regional,-30.519501,151.664056
1058,Drummond Memorial Public School,Australia,New South Wales,ARMIDALE,2350,125,Primary School,Armidale Regional,-30.511469,151.650715
1061,Artarmon Public School,Australia,New South Wales,Artarmon ,2064,1175,Primary School,Willoughby,-33.811249,151.186001
1064,Ashbury Public School,Australia,New South Wales,Ashbury,2193,374,Primary School,Canterbury-Bankstown,-33.898833,151.11944
1065,Ashfield Public School,Australia,New South Wales,Ashfield ,2131,494,Primary School,Inner West,-33.889723,151.12821
1066,Ashford Central School,Australia,New South Wales,Ashford ,2361,168,Central/Community School,Inverell,-29.321262,151.094638
1070,Asquith Public School,Australia,New South Wales,Asquith,2077,419,Primary School,Hornsby,-33.685729,151.112177
1071,Attunga Public School,Australia,New South Wales,Attunga ,2345,35,Primary School,Tamworth Regional,-30.930445,150.846575
1073,Auburn North Public School,Australia,New South Wales,Auburn ,2144,704,Primary School,Cumberland,-33.841669,151.038618
1075,Auburn West Public School,Australia,New South Wales,Auburn ,2144,620,Primary School,Cumberland,-33.860931,151.019764
1076,Austinmer Public School,Australia,New South Wales,Austinmer ,2515,327,Primary School,Wollongong,-34.305398,150.934991
1077,Austral Public School,Australia,New South Wales,AUSTRAL,2179,269,Primary School,Liverpool,-33.934487,150.812638
