Entrance,Train_Station,Lat,Long
E1,Aberdeen,-32.16688641,150.8919573
E2,Aberdeen,-32.16689969,150.8919751
E3,Adamstown,-32.9337056,151.7204518
E4,Adamstown,-32.93382729,151.7202364
E5,Adamstown,-32.93341396,151.7203632
E6,Adamstown,-32.93340162,151.7203474
E7,Albion Park,-34.56340933,150.79939
E8,Albion Park,-34.56350712,150.7991893
E9,Albion Park,-34.56278202,150.7984185
E10,Albion Park,-34.56293995,150.798574
E11,Allawah,-33.96949011,151.1145667
E12,Allawah,-33.96953727,151.1146945
E13,Allawah,-33.96988689,151.1142405
E14,Allawah,-33.96996874,151.1149448
E15,Allawah,-33.96987782,151.1144352
E16,Arlington LR,-33.9020497,151.1380434
E17,Arlington LR,-33.9020453,151.1381593
E18,Arncliffe,-33.93677457,151.1468602
E19,Arncliffe,-33.93671781,151.1468509
E20,Arncliffe,-33.93692447,151.1474278
E21,Arncliffe,-33.93696302,151.1474227
E22,Artarmon,-33.80823377,151.1847419
E23,Artarmon,-33.80854065,151.1844285
E24,Artarmon,-33.80875941,151.1847201
E25,Ashfield,-33.88789161,151.1257974
E26,Ashfield,-33.887775,151.1255397
E27,Ashfield,-33.88744211,151.1259581
E28,Ashfield,-33.88739665,151.1258025
E29,Asquith,-33.68869132,151.1082656
E30,Asquith,-33.68848916,151.1079991
E31,Auburn,-33.849663,151.0329192
E32,Auburn,-33.84946375,151.0327209
E33,Auburn,-33.8492876,151.0332914
E34,Austinmer,-34.30650136,150.9289071
E35,Austinmer,-34.3065205,150.9293511
E36,Awaba,-33.0129167,151.5421589
E37,Awaba,-33.01310914,151.5420747
E38,Awaba,-33.01291676,151.5421328
E39,Banksia,-33.94488347,151.1404482
E40,Banksia,-33.94479129,151.1404987
E41,Banksia,-33.94490035,151.140849
E42,Bankstown,-33.91768635,151.0342697
E43,Bankstown,-33.91778824,151.0337625
E44,Bankstown,-33.91805216,151.03411
E45,Bardwell Park,-33.93137824,151.125379
E46,Bargo,-34.29097858,150.5801756
E47,Bargo,-34.29104476,150.5800077
E48,Bargo,-34.29100778,150.5800205
E49,Bargo,-34.29098411,150.5801501
E50,Beecroft,-33.74921627,151.0667339
E51,Beecroft,-33.74904472,151.0663377
E52,Beecroft,-33.74923381,151.0662247
E53,Bell,-33.5061656,150.2793612
E54,Bell,-33.50623435,150.2790794
E55,Bella Vista,-33.73118266,150.9442965
E56,Bella Vista,-33.73005082,150.9437829
E57,Bella Vista,-33.73105417,150.9442341
E58,Bella Vista,-33.73018824,150.9438384
E59,Bellambi,-34.36261281,150.9101311
E60,Belmore,-33.91724884,151.0883372
E61,Belmore,-33.91722736,151.0883244
E62,Berala,-33.8719773,151.0328288
E63,Berala,-33.87139384,151.0323272
E64,Beresfield,-32.79947121,151.6581617
E65,Beresfield,-32.79958398,151.658334
E66,Beresfield,-32.79940714,151.6585784
E67,Berowra,-33.62300205,151.1531421
E68,Berowra,-33.62291449,151.1535638
E69,Berry,-34.78027342,150.6967235
E70,Beverly Hills,-33.94926254,151.0804784
E71,Beverly Hills,-33.94913026,151.0808291
E72,Beverly Hills,-33.94914069,151.0808676
E73,Bexley North,-33.9374812,151.1139261
E74,Birrong,-33.89253644,151.0243134
E75,Blackheath,-33.63400546,150.2842535
E76,Blackheath,-33.63397248,150.2845903
E77,Blacktown,-33.7677336,150.9079689
E78,Blacktown,-33.76894183,150.9073054
E79,Blacktown,-33.76903303,150.9069899
E80,Blacktown,-33.76777702,150.9080196
E81,Blacktown,-33.76775412,150.9079614
E82,Blacktown,-33.76779802,150.9069245
E83,Blacktown,-33.7678292,150.9071472
E84,Blacktown,-33.76889928,150.9070828
E85,Blacktown,-33.76896727,150.9072963
E86,Blaxland,-33.74369934,150.6099627
E87,Blaxland,-33.74366205,150.6098058
